# Clock	Points
1096	6580
1097	6592
1098	6604
1099	6616
1100	6628
1101	6640
1102	6652
1103	6664
1104	6676
1105	6688
1106	6700
1107	6712
1108	6724
1109	6736
1110	6748
1111	6760
1112	6772
1113	6784
1114	6796
1115	6808
1116	6821
1117	6834
1118	6847
1119	6860
1120	6873
1121	6886
1122	6899
1123	6912
1124	6925
1125	6938
1126	6951
1127	6964
1128	6977
1129	6990
1130	7003
1131	7016
1132	7029
1133	7042
1134	7055
1135	7068
1136	7081
1137	7094
1138	7107
1139	7120
1140	7133
1141	7146
1142	7159
1143	7172
1144	7185
1145	7198
1146	7211
1147	7224
1148	7237
1149	7250
1150	7263
1151	7276
1152	7289
1153	7302
1154	7315
1155	7328
1156	7341
1157	7354
1158	7367
1159	7380
1160	7393
1161	7406
1162	7419
1163	7432
1164	7445
1165	7458
1166	7471
1167	7484
1168	7497
1169	7510
1170	7523
1171	7536
1172	7549
1173	7562
1174	7575
1175	7588
1176	7601
1177	7614
1178	7627
1179	7640
1180	7653
1181	7666
1182	7679
1183	7692
1184	7705
1185	7718
1186	7731
1187	7744
1188	7757
1189	7770
1190	7783
1191	7796
1192	7809
1193	7822
1194	7835
1195	7848
1196	7861
1197	7874
1198	7887
1199	7900
1200	7913
